xmin;ymin;xmax;ymax;confidence;class;name;xc;yc;bbox_H;bbox_W;image;H;W;rel_xc;rel_yc;rel_W;rel_H;y_rounder;obj_sorter;FRUIT_ID;q;i1;i2
1265.754395;1406.29834;1678.559692;1838.793945;0.95217669;0;Sliced_Fruit;1471.754395;1622.29834;432.4956055;412.8052979;Giallo A1 (1-5) 0,0,0.JPG;4032;3024;0.486691268;0.402355739;0.136509688;0.107265775;3;1474.754395;1;0;0;0
1873.802124;1466.029419;2327.037354;1923.724609;0.955625772;0;Sliced_Fruit;2099.802124;1694.029419;457.6951904;453.2352295;Giallo A1 (1-5) 0,0,0.JPG;4032;3024;0.694379009;0.420146185;0.149879375;0.113515672;3;2102.802124;2;0;0;0
1268.69812;2157.690674;1716.107788;2609.608398;0.951251209;0;Sliced_Fruit;1491.69812;2382.690674;451.9177246;447.409668;Giallo A1 (1-5) 0,0,0.JPG;4032;3024;0.493286415;0.590945108;0.147952933;0.112082769;5;1496.69812;3;0;0;0
1895.474609;2112.363281;2383.510742;2660.046387;0.94851172;0;Sliced_Fruit;2139.474609;2385.363281;547.6831055;488.0361328;Giallo A1 (1-5) 0,0,0.JPG;4032;3024;0.707498217;0.591607957;0.16138761;0.135834104;5;2144.474609;4;0;0;0
1506.577759;2842.781738;1975.739746;3388.491943;0.941880345;0;Sliced_Fruit;1740.577759;3114.781738;545.7102051;469.1619873;Giallo A1 (1-5) 0,0,0.JPG;4032;3024;0.575587883;0.772515312;0.15514616;0.135344793;6;1746.577759;5;0;0;0
1355.095825;1489.206299;1798.848755;1987.637573;0.949061751;0;Sliced_Fruit;1576.095825;1738.206299;498.4312744;443.7529297;Giallo A2 (6-10) 0,0,0.JPG;4032;3024;0.521195709;0.431102753;0.146743694;0.123618868;3;1579.095825;1;0;0;0
1973.552856;1487.665161;2453.45166;2023.116211;0.940421283;0;Sliced_Fruit;2212.552856;1754.665161;535.4510498;479.8988037;Giallo A2 (6-10) 0,0,0.JPG;4032;3024;0.731664304;0.435184812;0.158696694;0.13280036;3;2215.552856;2;0;0;0
1285.65271;2220.031982;1745.172852;2779.554688;0.948794425;0;Sliced_Fruit;1514.65271;2499.031982;559.5227051;459.5201416;Giallo A2 (6-10) 0,0,0.JPG;4032;3024;0.500877219;0.619799599;0.151957719;0.138770512;5;1519.65271;3;0;0;0
1993.779419;2245.547607;2479.403809;2809.702881;0.937257946;0;Sliced_Fruit;2235.779419;2527.547607;564.1552734;485.6243896;Giallo A2 (6-10) 0,0,0.JPG;4032;3024;0.739345046;0.626871926;0.160590076;0.139919463;5;2240.779419;4;0;0;0
1501.873901;2901.203613;1976.556885;3395.639893;0.868371785;0;Sliced_Fruit;1738.873901;3148.203613;494.4362793;474.6829834;Giallo A2 (6-10) 0,0,0.JPG;4032;3024;0.575024438;0.780804468;0.156971886;0.122628045;6;1744.873901;5;0;0;0
1364.68396;1556.326904;1842.543823;2091.434082;0.934160411;0;Sliced_Fruit;1602.68396;1823.326904;535.1071777;477.8598633;Giallo A3 (11-15) 0,0,0.JPG;4032;3024;0.529988082;0.452214014;0.158022442;0.132715074;3;1605.68396;1;0;0;0
2131.024658;1562.4823;2622.64917;2134.492188;0.943709493;0;Sliced_Fruit;2376.024658;1848.4823;572.0098877;491.6245117;Giallo A3 (11-15) 0,0,0.JPG;4032;3024;0.78572244;0.458452951;0.162574243;0.141867532;3;2379.024658;2;0;0;0
1419.493652;2404.265625;1887.579712;2857.317383;0.950563312;0;Sliced_Fruit;1653.493652;2630.265625;453.0517578;468.0860596;Giallo A3 (11-15) 0,0,0.JPG;4032;3024;0.546790229;0.652347625;0.154790364;0.112364027;5;1658.493652;3;0;0;0
2140.962402;2281.299072;2617.631592;2818.866455;0.95031023;0;Sliced_Fruit;2378.962402;2549.299072;537.5673828;476.6691895;Giallo A3 (11-15) 0,0,0.JPG;4032;3024;0.786693916;0.632266635;0.1576287;0.133325244;5;2383.962402;4;0;0;0
1736.445313;3053.543213;2227.88501;3619.42749;0.944790125;0;Sliced_Fruit;1981.445313;3335.543213;565.8842773;491.4396973;Giallo A3 (11-15) 0,0,0.JPG;4032;3024;0.655239852;0.827267662;0.162513127;0.140348283;6;1987.445313;5;0;0;0
2110.681885;1678.52356;2805.339844;2327.018311;0.925374091;0;Sliced_Fruit;2457.681885;2002.52356;648.494751;694.657959;Pre-harvest a (1-6).JPG;4032;3024;0.812725491;0.496657629;0.229714934;0.160836992;3;2460.681885;1;3;3;0
1497.033569;2540.006836;1994.258301;3172.159912;0.938217521;0;Sliced_Fruit;1745.033569;2856.006836;632.1530762;497.2247314;Pre-harvest a (1-6).JPG;4032;3024;0.577061366;0.708335029;0.164426168;0.156783997;4;1749.033569;2;3;3;0
2135.032715;2437.838135;2698.708984;3155.953857;0.864693403;0;Sliced_Fruit;2416.032715;2796.838135;718.1157227;563.6762695;Pre-harvest a (1-6).JPG;4032;3024;0.798952617;0.693660252;0.186400883;0.178104098;4;2420.032715;3;3;3;0
1491.514526;3274.267334;1959.589111;3869.939453;0.904051661;0;Sliced_Fruit;1725.514526;3571.267334;595.6721191;468.074585;Pre-harvest a (1-6).JPG;4032;3024;0.570606656;0.885730986;0.154786569;0.147736141;6;1731.514526;4;3;2;0
2058.208984;3297.751221;2554.212891;3879.829834;0.944886923;0;Sliced_Fruit;2306.208984;3588.751221;582.0786133;496.0039063;Pre-harvest a (1-6).JPG;4032;3024;0.762635246;0.890067267;0.164022456;0.144364735;6;2312.208984;5;2;3;0
1419.340698;1402.821777;1816.286011;1802.63208;0.952189684;0;Sliced_Fruit;1617.340698;1601.821777;399.8103027;396.9453125;Rosso B1 (1-5) 1,1,0.JPG;4032;3024;0.534834887;0.397277227;0.131264984;0.099159301;4;1621.340698;1;1;1;0
2004.756104;1478.869141;2378.955811;1873.248657;0.947031617;0;Sliced_Fruit;2191.756104;1675.869141;394.3795166;374.199707;Rosso B1 (1-5) 1,1,0.JPG;4032;3024;0.724787071;0.415642148;0.123743289;0.09781238;4;2195.756104;2;1;1;0
